@relation QueryResult_rsi14

@attribute Date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute Adj_C numeric
@attribute rsi14 numeric

@data
1988-08-09T00:00:00,2634,38.403262
1988-08-10T00:00:00,2579.4,30.01785
1988-08-11T00:00:00,2595.3,34.502903
1988-08-12T00:00:00,2600.9,36.057246
1988-08-15T00:00:00,2600.6,36.007947
1988-08-16T00:00:00,2589.4,34.131708
1988-08-17T00:00:00,2594.7,35.83554
1988-08-18T00:00:00,2571.4,31.925727
1988-08-19T00:00:00,2579.8,34.692131
1988-08-22T00:00:00,2564.1,32.068982
1988-08-23T00:00:00,2532.1,27.504147
1988-08-24T00:00:00,2520.3,26.0326
1988-08-25T00:00:00,2520.9,26.248673
1988-08-26T00:00:00,2464.8,20.282698
1988-08-30T00:00:00,2439.6,18.273519
1988-08-31T00:00:00,2443.8,19.701213
1988-09-01T00:00:00,2433.3,18.81624
1988-09-02T00:00:00,2449.9,24.583962
1988-09-05T00:00:00,2508.2,40.55681
1988-09-06T00:00:00,2502.1,39.611476
1988-09-07T00:00:00,2525.1,44.832853
1988-09-08T00:00:00,2508.5,42.009634
1988-09-09T00:00:00,2496.6,40.062013
1988-09-12T00:00:00,2468.9,35.890854
1988-09-13T00:00:00,2473.6,37.087765
1988-09-14T00:00:00,2481.6,39.169568
1988-09-15T00:00:00,2474.1,37.903266
1988-09-16T00:00:00,2458.8,35.389756
1988-09-19T00:00:00,2447.6,33.631578
1988-09-20T00:00:00,2423.2,30.120766
1988-09-21T00:00:00,2432,32.843625
1988-09-22T00:00:00,2455.8,39.688366
1988-09-23T00:00:00,2454.4,39.433757
1988-09-27T00:00:00,2466.3,42.79316
1988-09-28T00:00:00,2449.8,39.519981
1988-09-29T00:00:00,2439.4,37.5694
1988-09-30T00:00:00,2441,38.075783
1988-10-03T00:00:00,2429.1,35.753016
1988-10-04T00:00:00,2415.8,33.307406
1988-10-05T00:00:00,2417.4,33.893238
1988-10-06T00:00:00,2427,37.443838
1988-10-07T00:00:00,2478.9,52.345654
1988-10-10T00:00:00,2566.4,66.733634
1988-10-11T00:00:00,2571.6,67.364259
1988-10-12T00:00:00,2551.9,62.528227
1988-10-13T00:00:00,2561.8,63.929633
1988-10-14T00:00:00,2593,67.992357
1988-10-17T00:00:00,2593.6,68.066845
1988-10-18T00:00:00,2590.4,67.169027
1988-10-20T00:00:00,2584,65.313485
1988-10-21T00:00:00,2581.7,64.62258
1988-10-24T00:00:00,2562.5,59.010747
1988-10-25T00:00:00,2584.5,62.977972
1988-10-26T00:00:00,2610.6,67.052203
1988-10-27T00:00:00,2617.3,68.024984
1988-10-28T00:00:00,2614.5,67.132928
1988-10-31T00:00:00,2627.4,69.140752
1988-11-01T00:00:00,2615.4,65.153458
1988-11-02T00:00:00,2607.8,62.687738
1988-11-03T00:00:00,2584.5,55.724952
1988-11-04T00:00:00,2584.5,55.724952
1988-11-07T00:00:00,2567,50.809155
1988-11-08T00:00:00,2587,55.626868
1988-11-09T00:00:00,2583,54.477683
1988-11-10T00:00:00,2577,52.71837
1988-11-11T00:00:00,2583.7,54.485947
1988-11-14T00:00:00,2538,42.747244
1988-11-15T00:00:00,2568.6,50.445749
1988-11-16T00:00:00,2566.9,50.043156
1988-11-17T00:00:00,2568.8,50.518464
1988-11-18T00:00:00,2581.2,53.61991
1988-11-21T00:00:00,2581.9,53.79597
1988-11-22T00:00:00,2598.8,57.94652
1988-11-23T00:00:00,2633.7,64.948969
1988-11-24T00:00:00,2666,69.938114
1988-11-25T00:00:00,2656.1,66.799652
1988-11-28T00:00:00,2625.1,58.019745
1988-11-29T00:00:00,2632.7,59.427679
1988-11-30T00:00:00,2659.3,63.980936
1988-12-01T00:00:00,2668,65.350589
